gyro_rad[0],gyro_rad[1],gyro_rad[2],accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2]
0.01166825,-0.0024698335,-0.031458817,0.4495524,0.18083355,-9.814987
-0.021464484,-0.003788097,-0.018862372,-0.1015957,0.23013146,-10.229425
-0.027606675,-0.015376779,-0.017980754,0.017348716,0.4607263,-9.934509
-0.03745034,-0.007859422,-0.0248992,0.70725054,0.34157223,-9.979633
-0.0062516774,-0.009375435,-0.008220412,0.21565835,-0.18534273,-9.35048
-0.004175167,-0.010883737,0.05006145,-0.20385516,0.2813712,-8.495584
-0.010136013,-0.041763622,0.07664885,0.44860172,0.34990594,-8.603066
-0.03802973,-0.06542458,0.09148791,0.9324542,0.26229355,-8.300018
-0.004788894,-0.06702936,0.15031612,-0.27801138,0.08071171,-8.308589
-0.042388607,-0.112030685,0.1890543,-0.33638728,0.45280674,-8.522084
-0.11439306,-0.10458629,0.22855724,0.4747001,0.504619,-8.906379
-0.13716762,-0.110684805,0.235286,0.29546452,0.10488504,-8.564284
-0.12474622,-0.07867875,0.22310922,-0.48915407,-0.01415137,-8.37162
-0.13956383,-0.09320023,0.22133887,0.31365326,0.36972123,-8.975572
-0.16307136,-0.10188974,0.17358525,0.96133846,0.30659747,-8.823933
-0.17768829,-0.056846336,0.15052132,-0.15975428,-0.40063033,-8.913177
-0.19679339,-0.03401794,0.13204917,-0.30828583,0.2120327,-9.052438
-0.20929067,-0.06032918,0.14048597,0.6014851,0.44782478,-8.911638
-0.2373357,-0.07678137,0.12577012,0.22330973,-0.32475466,-9.068634
-0.2154517,-0.08531431,0.1179189,-0.18801604,-0.08501731,-9.105729
-0.17264459,-0.10962836,0.114607945,0.36580485,0.48997334,-9.144667
-0.1829055,-0.13202783,0.11867006,0.4603869,0.10018181,-9.019139
-0.1745437,-0.115442954,0.1059928,-0.12989318,-0.67092335,-9.160054
-0.15004829,-0.122080326,0.13570483,0.0073761595,0.032491047,-9.40628
-0.1633283,-0.1295513,0.13434814,0.5582671,0.5391474,-9.169192
-0.18114778,-0.075245075,0.1322604,0.03961533,-0.20301063,-9.003291
-0.17756267,-0.06754278,0.11709734,-0.19505267,-0.24350522,-8.67866
-0.17586575,-0.06646313,0.115643874,0.5718322,0.76013327,-9.159799
-0.2141421,-0.07981349,0.12299334,0.25230572,0.3255339,-9.133142
-0.2508064,-0.101909265,0.09734506,-0.06324101,-0.69297767,-8.740938
-0.19353098,-0.102964334,0.12404668,0.5546313,0.17336167,-8.732785
-0.19862276,-0.098257974,0.14124894,0.05305429,0.44013628,-9.197965
-0.20195603,-0.08380923,0.12132023,-0.31066716,-0.29043138,-8.645468
-0.18344839,-0.0733153,0.084933504,0.47396365,-0.574919,-8.809387
-0.15152906,-0.09007807,0.08847799,0.26431122,0.61397856,-9.484034
-0.13301523,-0.0772273,0.11838978,-0.42058071,0.3562653,-9.268021
-0.116330415,-0.08378406,0.10860561,0.15667993,-0.48544362,-8.618816
-0.07436255,-0.10716897,0.11389754,0.40623617,0.06727654,-9.246322
-0.058378916,-0.10700633,0.12286482,0.28733826,-0.081414446,-9.524887
-0.104016565,-0.08211332,0.0958142,0.38624412,0.8343336,-9.088799
-0.14312968,-0.05040388,0.11550349,0.04303021,-0.05374909,-9.208696
-0.14737837,-0.044857156,0.09992864,0.01895897,-0.6311199,-9.431993
-0.16846286,-0.016030643,0.10433923,0.33420974,0.6449937,-9.285349
-0.18717366,-0.01562492,0.087406665,0.30067477,0.24961285,-9.434656
-0.20313127,-0.04840791,0.08340519,0.67347056,-0.12306994,-9.840043
-0.10617832,-0.04340068,0.08978987,-0.30545902,-0.07756254,-9.9638405
-0.09177788,-0.06017304,0.073237896,-0.212056,0.2627101,-9.969667
-0.09701744,-0.058882304,0.08194864,0.5264126,0.48667103,-9.660077
-0.13408881,-0.030699857,0.104076646,0.2920487,0.7484993,-9.309352
-0.19983952,-0.041921906,0.12587078,0.23047434,-0.18912825,-9.163419
-0.0899018,-0.027889486,0.12780264,0.052042186,-0.5133847,-9.392697
-0.079141684,-0.0015754789,0.13194588,0.16536205,1.3048,-9.601357
-0.053754974,-0.02900666,0.13433516,0.31291127,0.90204096,-9.595501
-0.032932483,-0.05349768,0.1336586,0.34848332,1.1230729,-9.023473
-0.021273045,-0.05327219,0.11448811,0.49226448,0.25625426,-9.450349
-0.087479435,-0.024857154,0.09767491,-0.15205583,-0.18159221,-9.832668
-0.11217402,-0.046126254,0.07036164,-0.19823764,0.22559138,-9.767577
-0.1494923,-0.089394026,0.07239082,0.601568,0.6032111,-9.483404
-0.1387208,-0.105933785,0.04749532,0.54143023,0.24836512,-9.424996
-0.12064451,-0.12995997,0.049343787,0.36165544,1.0916595,-9.40241
-0.07606977,0.0002862714,0.038318917,-0.3949237,-0.03601997,-9.78064
-0.09382124,0.02808477,0.04404045,0.14896423,-0.4265036,-9.752863
-0.062384516,0.043385495,0.09946855,0.41031268,0.67245156,-10.284953
-0.06999479,0.045143418,0.09116906,-0.10969441,-0.25005248,-10.049284
-0.039040804,0.03498225,0.068227045,0.04838669,0.8400584,-10.092186
-0.07388105,0.0050356826,0.06636357,-0.009648393,0.8353212,-9.706262
-0.06684464,3.9263272e-05,0.058515944,0.051221646,-0.1623591,-9.618019
-0.08459838,-0.01467992,0.0809397,-0.17520419,0.180114,-9.348289
-0.07083587,-0.013046989,0.093027025,0.16277376,0.42898828,-9.413644
-0.0658176,-0.032745603,0.06241384,-0.28971836,-0.7228681,-9.654071
-0.024605926,-0.020928001,0.084841795,-0.11365846,0.56403244,-9.749585
-0.02862301,-0.022612453,0.087561235,0.05282098,0.97387314,-9.883952
-0.00455262,0.01745249,0.082807094,-0.3759584,-0.60396063,-9.206299
-0.046258707,0.009677277,0.05229812,0.3554626,0.07805775,-9.39088
-0.017036991,-0.0011263215,0.05802295,-0.3226648,-0.3869489,-9.658446
-0.03102848,0.030020446,0.07329813,0.109242536,0.29166034,-10.261768
-0.06478793,0.025736248,0.09710683,0.40133998,0.856489,-9.475169
-0.096281685,0.03451358,0.07329932,-0.246045,-0.16844723,-9.791292
-0.10802831,0.01092119,0.04813473,0.05409031,1.2142631,-9.570763
-0.13216424,-0.03525312,0.033591975,-0.26841384,-0.2694318,-9.310654
-0.054099217,0.0067823334,0.029653264,0.12661657,-0.5249824,-9.93821
-0.07166721,0.02114716,0.028265622,0.24918482,0.960224,-10.089221
-0.08219686,0.02129872,0.062115032,-0.12644327,0.44871688,-9.495026
-0.07917866,0.048934277,0.064622596,0.11168301,0.4711295,-10.190867
-0.10265063,0.06840331,0.052410465,0.6716656,0.80093914,-9.445458
0.0077149193,0.0005624154,0.04954506,-0.019509777,0.04217898,-9.401899
0.01777196,0.014151506,0.025238512,-0.036709502,-0.20058534,-9.487247
0.041514996,-0.007851045,0.041342553,0.35584843,0.73381686,-9.266183
0.017965684,-0.035888262,0.041561138,0.15660837,1.0966429,-9.791239
0.0415065,-0.041867446,0.020470666,0.19764459,0.81430906,-9.717231
0.028198397,0.008828949,0.05818694,-0.5354289,-0.87776905,-9.615921
0.0086108,0.02141477,0.043459464,-0.19541375,0.11421031,-9.695345
0.0029943972,0.014228431,0.045116823,0.08799051,1.4671314,-9.439305
-0.012133469,0.008499723,0.050333317,-0.045549553,1.0704451,-9.544644
-0.023860114,0.0116764875,0.055220198,0.06626618,0.9299544,-9.832783
-0.006159231,0.009462389,0.06484568,0.016685965,-0.6753389,-9.530219
-0.049169257,-0.0010214546,0.029971004,-0.016723864,0.26350978,-9.169211
-0.041035153,0.012917504,0.040074907,-0.16149968,1.4081864,-10.177119
-0.020695765,0.011355164,0.02965811,0.6445803,0.31473666,-10.166273
-0.037388276,0.02322348,0.023806306,-0.22795653,0.30947798,-9.8316555
0.028713647,-0.008775015,0.021940963,-0.35775104,0.3890073,-10.000382
0.011160962,-0.012720893,0.014827989,0.49242255,0.3538685,-9.507545
0.029639736,-0.005437223,0.012028596,-0.06745331,-0.15644929,-9.105181
0.028746307,-0.012619963,0.0042160028,0.21536702,0.5332954,-9.695933
0.03658716,-0.0073640947,0.034989424,-0.7564757,0.1520203,-9.727857
